Step,Trigger/Action,Owner,Tool/System,Data_Fields,SLA_Target
1,TRIGGER: Campaign launch OR Post-purchase timing OR Engagement milestone OR Scheduled feedback request,System/Marketing,Survey/poll software / Campaign scheduler / Milestone trigger,"trigger_type, poll_id, launch_timestamp, campaign_association, target_audience",Per schedule or immediate
2,"Design poll/assessment with branching logic based on business goals (lead gen, feedback, segmentation)",Marketing Team,Typeform / SurveyMonkey / Zigpoll / Google Forms / Jotform / Outgrow,"poll_title, question_count, branching_rules, scoring_methodology, goal_type",< 4 hours for design
3,"Embed poll/assessment in email, landing page, website popup, SMS, or social media",Marketing Automation,Email platform / Landing page builder / Website popup tool / SMS platform,"deployment_channels, embed_locations, distribution_method, audience_reached",Same day as design complete
4,Capture responses in real-time with partial completion tracking for abandoned surveys,System (Response Collector),Survey tool webhook / Partial response tracking / Auto-save functionality,"response_id, respondent_id, response_timestamp, completion_status, partial_data",Real-time
5,"Score responses automatically (quiz results, assessment scores, satisfaction ratings)",Automation (Scoring Engine),Survey logic / Scoring algorithm / AI response analysis,"total_score, category_scores, grade_level, benchmark_comparison",Immediate upon completion
6,"Segment respondents based on answers (persona, readiness, satisfaction level, needs)",Automation (Segmentation),CRM segmentation rules / Tagging automation / Persona assignment,"segment_assigned, persona_type, readiness_level, satisfaction_tier, need_category",Immediate after scoring
7,Trigger personalized follow-up based on specific responses and scores,Marketing Automation,Marketing automation workflows / Zapier/Make.com integration,"follow_up_workflow_triggered, personalization_applied, next_action",< 10 minutes
8,"DECISION: High-value response detected (qualified need, purchase intent, complaint)?",Automation,Response threshold detection / High-priority flag system,"priority_flag, alert_type",Immediate
9,IF YES: Alert sales/support team immediately + trigger priority follow-up workflow,System + Sales/Support,CRM task creation / Sales alert / Support ticket generation / Priority queue,"alert_sent_timestamp, assigned_to, urgency_level, response_data_summary",< 15 minutes for critical
10,IF NO: Send automated results/insights to respondent + nurture sequence enrollment,Automation (Results Delivery),Automated email with results / PDF report generator / Results dashboard,"results_delivered_timestamp, results_format, insights_provided",< 30 minutes
11,"Deliver personalized recommendations, content, or offers based on assessment results",Automation (Content Engine),Content recommendation engine / Dynamic offer system / Personalization API,"recommendations_given, content_suggested, offer_presented, call_to_action",< 1 hour
12,Sync response data to CRM with tags and segmentation for future personalization,Automation (CRM Sync),"CRM integration (HubSpot, Salesforce) / Custom field mapping / Tag application","crm_updated_timestamp, tags_applied, segment_updated, custom_fields_populated",< 15 minutes
13,"Analyze aggregate results for trends, common pain points, product-market fit insights",Marketing/Product Team,Survey analytics dashboard / Sentiment analysis / Trend detection,"response_count, avg_score, trend_analysis, pain_points_identified, nps_score",Weekly aggregation
14,Generate feedback reports and trigger internal workflows for product/marketing adjustments,Leadership + Product Team,Internal reporting / Stakeholder alerts / Product backlog integration / Strategy updates,"report_id, stakeholders_notified, action_items_created, follow_up_scheduled",Within 48 hours of threshold
