Step,Trigger/Action,Owner,Tool/System,Data_Fields,SLA_Target
1,TRIGGER: Purchase completed OR Milestone reached OR High NPS score OR Positive support interaction,System,Order management / CRM milestone tracking / NPS survey / Support ticket system,"trigger_type, customer_id, trigger_event, timestamp, customer_segment",Per business rules
2,Determine optimal timing for request based on customer journey stage and product type,Automation (Timing Engine),Customer journey analytics / Timing optimization algorithm,"optimal_request_time, days_since_purchase, customer_satisfaction_score",Calculated per customer
3,"Send personalized review request via preferred channel (email, SMS) with easy submission link",Automation (Outreach),"Email/SMS platform / Review request automation (Yotpo, Trustpilot, Birdeye)","request_sent_timestamp, channel_used, review_link, platform_requested",Within optimal window
4,For referrals: Provide unique referral link/code with clear incentive explanation,Automation (Referral System),"Referral software (GrowSurf, ReferralCandy, Viral Loops) / Unique link generator","referral_link, referral_code, incentive_offered, sharing_instructions",Immediate upon request
5,"Track review submissions across platforms (Google, Yelp, Facebook, G2, Capterra, Trustpilot)",Automation (Review Aggregator),"Review monitoring platform (ReviewTrackers, Podium) / Multi-platform aggregator","review_id, platform, rating, review_text, reviewer_name, review_date",< 15 minutes from posting
6,"Monitor referral link shares and track clicks, signups, conversions from referrals",Automation (Referral Tracker),Referral tracking software / Attribution system / Conversion pixel,"referral_clicks, referral_signups, referral_conversions, referrer_id, referee_id",Real-time tracking
7,DECISION: Positive review (4-5 stars) or successful referral conversion detected?,Automation,Review sentiment detection / Referral conversion webhook,"positive_review_flag, referral_success_flag",Immediate
8,IF YES: Send thank you message + deliver reward/incentive + request testimonial permission,Automation + Marketing,Automated thank you campaign / Reward delivery system / Testimonial request,"thank_you_sent, reward_type, reward_value, testimonial_permission",< 2 hours
9,DECISION: Negative review (1-2 stars) detected?,Automation,Negative sentiment alert / Review monitoring,negative_review_flag,Immediate
10,IF YES: Alert support team immediately + send empathetic response + offer resolution,Support Team + Automation,Support ticket creation / Response template automation / Escalation workflow,"support_alert_sent, response_sent_timestamp, resolution_offered, case_id",< 1 hour
11,Auto-publish approved positive reviews to website testimonials page and marketing materials,Automation (Content Publisher),Website CMS integration / Testimonial widget / Marketing automation,"testimonial_published, publication_locations, approval_status",< 24 hours after approval
12,"Credit referral rewards automatically when conversion criteria met (purchase, subscription)",Automation (Reward Fulfillment),"Reward fulfillment system (gift cards, discounts, credits) / Payment processor","reward_credited_date, reward_amount, reward_status, redemption_method",Within 48 hours of conversion
13,"Generate social proof content from reviews for ads, landing pages, and social media",Marketing Team + Automation,Social proof aggregator / Content automation / UGC management,"social_proof_content_created, usage_locations, performance_metrics",Weekly content generation
14,Create leaderboard for top referrers and send engagement campaigns to active advocates,Marketing Team + System,Gamification platform / Leaderboard widget / Advocate engagement campaigns,"leaderboard_position, total_referrals, engagement_campaign_sent",Monthly leaderboard update
