Step,Trigger/Action,Owner,Tool/System,Data_Fields,SLA_Target
1,TRIGGER: New prospect identified OR Engagement drop detected OR Event attendance OR Content consumption,System/Sales Dev,CRM / Lead database / Intent data provider / Event platform,"trigger_type, prospect_id, trigger_source, timestamp, priority_score",Immediate
2,"Build target prospect list from ICP criteria, intent signals, technographics, firmographics",SDR Team + Automation,ICP filters / ZoomInfo / Clearbit / 6sense / Bombora / LinkedIn Sales Navigator,"company_name, industry, company_size, revenue, technologies, employee_count",< 4 hours for list build
3,"Enrich prospect data (email, phone, social profiles, company info, buying signals)",Automation (Enrichment),"Data enrichment APIs (Clearbit, ZoomInfo, Apollo, Lusha)","email, phone, linkedin_url, job_title, decision_maker_level, reporting_structure",< 30 minutes
4,"Create personalized outreach sequence across multiple channels (email, LinkedIn, phone, direct mail)",SDR Team + Automation,"Sales engagement platform (Outreach, Salesloft, Apollo, Reply.io)","sequence_name, channel_mix, personalization_level, total_touchpoints",< 2 hours for setup
5,Launch multi-touch cadence (typically 8-12 touchpoints over 2-3 weeks),Automation (Cadence Engine),Multi-channel sequencer / Cadence templates / Automation engine,"cadence_started, current_step, next_touchpoint_date, completion_status",Per cadence schedule
6,"Track engagement across all channels (email opens, LinkedIn profile views, call connects, replies)",Automation (Engagement Tracker),Email tracking / LinkedIn engagement / Call logging / Multi-touch attribution,"opens_count, clicks_count, linkedin_views, call_attempts, call_connects, replies",Real-time
7,Use AI to personalize messaging based on prospect behavior and company research,AI + Sales Development,"AI writing assistant (Lavender, Jasper) / Personalization at scale / GPT-4","ai_personalization_applied, research_notes, custom_messaging, icebreaker",Per message send
8,"DECISION: Positive response received (reply, meeting booked, content download)?",Automation,"Reply detection / Meeting scheduling (Calendly, Chili Piper)",response_type,Immediate
9,IF YES: Move to sales conversation workflow + notify sales rep + log opportunity,SDR + Sales Team + System,CRM opportunity creation / Sales alert / Pipeline tracking,"meeting_booked_date, sales_rep_assigned, opportunity_created, deal_value",< 15 minutes
10,IF NO: Continue sequence OR try different angle/channel,Automation (Sequence Logic),Sequence branching logic / A/B testing / Channel rotation,"sequence_status, next_action, branch_taken",Per sequence timing
11,"Monitor for buying signals (job changes, funding, tech stack changes, hiring, intent keywords)",Automation (Signal Detection),Intent data monitoring / Job change alerts / Funding alerts / Tech install signals,"intent_signals_detected, job_change_alert, funding_event, tech_adoption",Real-time monitoring
12,"Auto-pause outreach if prospect shows negative engagement (unsubscribe, ""not interested"" reply)",Automation (Suppression),Unsubscribe processing / Negative reply detection / Do-not-contact list,"suppression_reason, suppression_date, do_not_contact_flag",Immediate
13,Re-engage cold prospects with new campaigns when timing/circumstances change,SDR Team + Automation,Re-engagement campaigns / Timing triggers / New angle testing,"re_engagement_triggered, new_campaign_name, wait_period_days",Based on timing rules
14,"Measure outreach effectiveness (response rate, meeting rate, pipeline generated, ROI by channel)",Sales Leadership + Analytics,Sales analytics platform / Pipeline attribution / Channel performance dashboard,"report_id, response_rate, meeting_rate, pipeline_value, cost_per_meeting",Weekly reporting
