Step,Trigger/Action,Owner,Tool/System,Data_Fields,SLA_Target
1,TRIGGER: Form submitted OR Landing page visited OR Lead magnet downloaded OR Ad clicked,System,Unbounce / Leadpages / Instapage / Form webhook / Ad platform pixel,"trigger_type, timestamp, lead_source, campaign_id, referrer_url, device_type",Immediate
2,"Capture lead data (name, email, phone, company, source, UTM params) automatically",Automation (Form Handler),Zapier/Make.com / Form processor / Webhook receiver,"name, email, phone, company, website, form_responses, ip_address",< 30 seconds
3,"Enrich lead profile with data appending (job title, company size, industry, LinkedIn)",Automation (Enrichment),Clearbit / ZoomInfo / Apollo / 6sense / Lusha,"job_title, company_size, industry, revenue_range, technologies, linkedin_url",< 2 minutes
4,"Score lead based on demographic fit, engagement level, behavioral signals, intent data",Automation (Scoring Engine),HubSpot / Salesforce / Marketo / Custom ML scoring model,"lead_score, fit_score, engagement_score, intent_score, conversion_probability",< 1 minute
5,"DECISION: Lead meets qualification criteria (ICP fit, engagement threshold)?",Automation,Qualification rules engine / ICP matching algorithm,"qualification_status, qualification_reason, icp_match_percent",Immediate
6,"IF YES: Auto-assign to sales rep based on territory, industry, deal size, availability",Automation (Router) + Sales,CRM routing rules / Round-robin / Territory mapping / Chili Piper,"assigned_rep_id, rep_name, assignment_timestamp, territory, routing_reason",< 3 minutes
7,IF NO: Route to nurture workflow and continue lead development,System (Nurture Queue),Marketing automation nurture queue / Drip campaign assignment,"nurture_track_id, nurture_stage, expected_conversion_date",< 5 minutes
8,Send instant autoresponder with promised content and next steps,Automation (Email),"Email service / Marketing automation (HubSpot, ActiveCampaign)","autoresponder_sent, email_template_id, delivery_timestamp, content_delivered",< 5 minutes
9,"Log complete attribution (source, campaign, keywords, content) in CRM",Automation (CRM),"CRM (Salesforce, HubSpot) / UTM tracking / First-touch attribution","crm_record_id, source_campaign, utm_source, utm_medium, utm_campaign, first_touch",< 1 minute
10,Alert assigned sales rep via SMS/Slack for high-intent leads requiring immediate follow-up,System + Sales Rep,Slack/SMS integration / Outreach / Salesloft / Instant notification,"alert_sent_timestamp, rep_notified_via, notification_status, urgency_level",< 5 minutes for hot leads
11,"Track lead behavior across website, email, content in real-time with activity timeline",Automation (Tracker),"Website tracking (Segment, Google Analytics) / Engagement scoring","page_views_list, time_on_site, content_viewed, email_engagement, last_activity",Real-time
12,Update lead score dynamically as new engagement data comes in,Automation (Scoring),Dynamic lead scoring / Engagement decay / Predictive scoring,"current_score, previous_score, score_delta, scoring_factors, last_score_update",Real-time on activity
13,"Trigger conversion acceleration tactics (limited-time offers, case studies, demos)",Marketing Automation,Scarcity campaigns / Social proof automation / Countdown timers,"acceleration_tactic_triggered, offer_type, expiration_date, cta_presented",Based on lead temperature
14,Sync lead data and activity across all marketing and sales systems in real-time,Automation (Data Sync),"iPaaS (Zapier, Workato) / Reverse ETL / API webhooks","last_sync_timestamp, synced_systems, sync_status, data_completeness",Every 15 minutes
