workflow_id,slug,title,department,tracker_count,trackers
AFC-01,afc-01-subscriptions,"AFC-01 - Subscriptions","AfterCare",1,"AFC-01_Subscription_Tracker.xlsx"
AFC-02,afc-02-memberships,"AFC-02 - Memberships","AfterCare",1,"AFC-02_Membership_Tracker.xlsx"
AFC-03,afc-03-long-term-contracts,"AFC-03 - Long-Term Contracts","AfterCare",1,"AFC-03_Contract_Tracker.xlsx"
AFC-04,afc-04-communities,"AFC-04 - Communities","AfterCare",1,"AFC-04_Community_Tracker.xlsx"
CUL-01,cul-01-vision-purpose,"CUL-01 - Vision & Purpose","Culture",1,"CUL-01_Vision_OKR_Tracker.xlsx"
CUL-02,cul-02-mission-governance,"CUL-02 - Mission & Governance","Culture",0,""
CUL-03,cul-03-documentation-sop,"CUL-03 - Documentation & SOP","Culture",1,"CUL-03_SOP_Repository.xlsx"
CUL-04,cul-04-organization-security,"CUL-04 - Organization & Security","Culture",0,""
CUL-05,cul-05-growth-training,"CUL-05 - Growth & Training","Culture",1,"CUL-05_Training_Tracker.xlsx"
CUL-06,cul-06-r-d-quality-assurance,"CUL-06 - R&D & Quality Assurance","Culture",1,"CUL-06_RD_QA_Tracker.xlsx"
CUL-07,cul-07-strategy-planning,"CUL-07 - Strategy & Planning","Culture",1,"CUL-07_Strategy_Planning_Dashboard.xlsx"
CUL-08,cul-08-tech-and-it,"CUL-08 - Tech and IT","Culture",1,"CUL-08_Tech_Stack_Registry.xlsx"
FIN-01,fin-01-pricing-expenses,"FIN-01 - Pricing & Expenses","Finance",1,"FIN01_Pricing_Expenses_Tracker.xlsx"
FIN-02,fin-02-taxes-fees,"FIN-02 - Taxes & Fees","Finance",1,"FIN02_Taxes_Fees_Tracker.xlsx"
FIN-03,fin-03-accounts-receivable-payable,"FIN-03 - Accounts Receivable & Payable","Finance",1,"FIN03_AR_AP_Tracker.xlsx"
FIN-04,fin-04-accounting-auditing,"FIN-04 - Accounting & Auditing","Finance",1,"FIN04_Accounting_Auditing_Tracker.xlsx"
FIN-05,fin-05-investment-savings,"FIN-05 - Investment & Savings","Finance",1,"FIN05_Investment_Savings_Tracker.xlsx"
FUL-01,ful-01-display-packaging,"FUL-01 - Display & Packaging","Fulfillment",1,"FUL-01_Deliverable_Tracker.xlsx"
FUL-02,ful-02-client-success,"FUL-02 - Client Success","Fulfillment",1,"FUL-02_Client_Health_Dashboard.xlsx"
FUL-03,ful-03-customer-service,"FUL-03 - Customer Service","Fulfillment",1,"FUL-03_CS_Ticket_Tracker.xlsx"
FUL-04,ful-04-feedback-testimonials,"FUL-04 - Feedback & Testimonials","Fulfillment",1,"FUL-04_Feedback_Testimonials_Tracker.xlsx"
FUL-05,ful-05-analytics-measurement,"FUL-05 - Analytics & Measurement","Fulfillment",1,"FUL-05_Analytics_KPI_Dashboard.xlsx"
FSS-01,marketing-founder-signal-system,"Founder Signal System","Marketing",0,""
MKT-01,mkt-01-lead-generation-conversion,"MKT-01 - Lead Generation & Conversion","Marketing",1,"MKT01_Lead_Gen_Conversion_Tracker.xlsx"
MKT-02,mkt-02-email-sms-nurture,"MKT-02 - Email/SMS Nurture","Marketing",1,"MKT02_Email_SMS_Nurture_Tracker.xlsx"
MKT-03,mkt-03-polls-assessments,"MKT-03 - Polls & Assessments","Marketing",1,"MKT03_Polls_Assessments_Tracker.xlsx"
MKT-04,mkt-04-reviews-referrals,"MKT-04 - Reviews & Referrals","Marketing",1,"MKT04_Reviews_Referrals_Tracker.xlsx"
MKT-05,mkt-05-outreach-engagement,"MKT-05 - Outreach & Engagement","Marketing",1,"MKT05_Outreach_Engagement_Tracker.xlsx"
MKT-06,mkt-06-content-creation-dissemination,"MKT-06 - Content Creation & Dissemination","Marketing",1,"MKT06_Content_Tracker.xlsx"
MKT-07,mkt-07-paid-advertising-ppc,"MKT-07 - Paid Advertising & PPC","Marketing",1,"MKT07_Marketing_KPI_Dashboard.xlsx"
MKT-08,mkt-08-social-media-management,"MKT-08 - Social Media Management","Marketing",0,""
MKT-09,mkt-09-event-webinar-marketing,"MKT-09 - Event & Webinar Marketing","Marketing",0,""
OPS-01,ops-01-vision-purpose,"OPS-01 - Vision & Purpose","Operations",1,"OPS01_SOP_Registry_Version_Tracker.xlsx"
OPS-02,ops-02-mission-governance,"OPS-02 - Mission & Governance","Operations",1,"OPS02_Team_Roles_Access_Control_Tracker.xlsx"
OPS-03,ops-03-documentation-sop-standards,"OPS-03 - Documentation & SOP Standards","Operations",1,"OPS03_Strategy_OKR_Tracker.xlsx"
OPS-04,ops-04-organization-security,"OPS-04 - Organization & Security","Operations",1,"OPS04_Tech_Stack_Automation_Registry.xlsx"
OPS-05,ops-05-strategy-planning,"OPS-05 - Strategy & Planning","Operations",1,"OPS05_Vendor_Contract_Renewal_Tracker.xlsx"
OPS-06,ops-06-tech-it,"OPS-06 - Tech & IT","Operations",1,"OPS06_Skill_Matrix_Training_Tracker.xlsx"
OPS-07,ops-07-growth-training,"OPS-07 - Growth & Training","Operations",1,"OPS07_Quality_Issue_Log.xlsx"
OPS-08,ops-08-r-d-quality-assurance,"OPS-08 - R&D & Quality Assurance","Operations",1,"OPS08_RD_Experiment_Pipeline.xlsx"
SAL-01,sal-01-proposals-contracts,"SAL-01 - Proposals & Contracts","Sales",1,"01_Sales_Pipeline_Tracker_1.xlsx"
SAL-02,sal-02-onboarding,"SAL-02 - OnBoarding","Sales",1,"02_Sales_Pipeline_Tracker_2.xlsx"
SAL-03,sal-03-deals-discounts,"SAL-03 - Deals & Discounts","Sales",1,"03_Funding_Opportunity_Pipeline_1.xlsx"
SAL-04,sal-04-negotiating-closing,"SAL-04 - Negotiating & Closing","Sales",1,"04_Funding_Opportunity_Pipeline_2.xlsx"
SAL-05,sal-05-passive-active-income-streams,"SAL-05 - Passive & Active Income Streams","Sales",1,"05_Onboarding_Checklist_Tracker_1.xlsx"
SAL-06,sal-06-fund-raising,"SAL-06 - Fund Raising","Sales",1,"06_Onboarding_Checklist_Tracker_2.xlsx"
